# CaO-SrO Pseudobinary Diagram (PARROT Optimized)
# column x: X(SR)   column y: T
# boundary = number of the continuous line
# phases: E = appears or disappears / F0 = fixed at zero amount
# CALCULATED = boundary obtained by common tangent (not exported from the MAP)
boundary,phases,X(SR),T
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.19387003898,1170.1612908
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.20635753898,1174.6217325
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.21884503898,1177.3246609
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.23133253907,1178.3301705
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.25630753907,1175.3999219
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.25787003907,1175.0004899
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.25943253907,1174.5757027
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.26099503907,1174.1255576
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.26255753907,1173.6500481
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.26412003907,1173.149164
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.26568253907,1172.6228911
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.26646378907,1172.3502283
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.26724503907,1172.0712112
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.26802628907,1171.7858369
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.26880753907,1171.4941024
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.27037003907,1170.8915389
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.27349503907,1169.6099244
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.27974503907,1166.7396584
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.29224503907,1159.7588236
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.30474503907,1151.0909114
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.32974503907,1128.4437504
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.35474503907,1098.049053
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.36724503907,1079.5717002
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.39224503907,1034.8647094
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.41724503907,977.17805938
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.42974503907,941.84681579
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.44224503907,900.67918953
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.45474503907,851.66239599
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.46559289996,800.0
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.026768713015,810.0
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.026778706853,810.065
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.038266540869,875.0
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.053389920714,940.0
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.073548393055,1005.0
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.086296168154,1037.5
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.10159988867,1070.0
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.12062572267,1102.5
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.13223283587,1118.75
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.14600504695,1135.0
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.16328298276,1151.25
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.16701556621,1154.2045458
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.17532301679,1160.1136373
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.19825355486,1171.9318203
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.20734446486,1174.8984067
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.22552628486,1178.0707096
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.23802628484,1177.882233
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.25052628482,1173.3043394
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.26302628486,1163.9111091
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.27552628498,1149.7802347
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.28802628504,1130.9466259
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.30052628502,1107.4209186
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.31302628509,1079.1822427
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.32552628509,1046.2386785
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.3380262851,1008.5173122
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.34427628512,987.8246439
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.34541264891,983.94146593
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.34768537641,976.0452617
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.35223083143,959.78458437
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.35677628644,942.77214957
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.36586719646,906.88014659
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.37495810648,868.16384377
5,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.38404901653,826.75380912
6,E:LIQUID + F0:HALITE#1,0.49,2891.7234098
6,E:LIQUID + F0:HALITE#1,0.489975,2891.7756061
6,E:LIQUID + F0:HALITE#1,0.48373125,2904.618892
6,E:LIQUID + F0:HALITE#1,0.4774875,2917.0747671
6,E:LIQUID + F0:HALITE#1,0.47124375,2929.1395526
6,E:LIQUID + F0:HALITE#1,0.45875625,2952.0911366
6,E:LIQUID + F0:HALITE#1,0.44626875,2973.4829006
6,E:LIQUID + F0:HALITE#1,0.43378125,2993.3509955
6,E:LIQUID + F0:HALITE#1,0.42129375,3011.7533367
6,E:LIQUID + F0:HALITE#1,0.40880625,3028.7640274
6,E:LIQUID + F0:HALITE#1,0.39631875,3044.4680038
6,E:LIQUID + F0:HALITE#1,0.38383125,3058.9563336
6,E:LIQUID + F0:HALITE#1,0.37134375,3072.3223635
6,E:LIQUID + F0:HALITE#1,0.34636875,3096.0552357
6,E:LIQUID + F0:HALITE#1,0.33386875,3106.6073557
6,E:LIQUID + F0:HALITE#1,0.32136875,3116.3834321
6,E:LIQUID + F0:HALITE#1,0.29636875,3133.8977476
6,E:LIQUID + F0:HALITE#1,0.28386875,3141.7651368
6,E:LIQUID + F0:HALITE#1,0.27136875,3149.1146855
6,E:LIQUID + F0:HALITE#1,0.25886875,3155.9949452
6,E:LIQUID + F0:HALITE#1,0.24636875,3162.4482916
6,E:LIQUID + F0:HALITE#1,0.22136875,3174.214057
6,E:LIQUID + F0:HALITE#1,0.19636875,3184.6352276
6,E:LIQUID + F0:HALITE#1,0.18386875,3189.3878343
6,E:LIQUID + F0:HALITE#1,0.17136875,3193.8497283
6,E:LIQUID + F0:HALITE#1,0.14636875,3201.9170987
6,E:LIQUID + F0:HALITE#1,0.12136875,3208.8255013
6,E:LIQUID + F0:HALITE#1,0.09636875,3214.4992526
6,E:LIQUID + F0:HALITE#1,0.07136875,3218.8075906
6,E:LIQUID + F0:HALITE#1,0.04636875,3221.5756166
6,E:LIQUID + F0:HALITE#1,0.03386875,3222.2440041
6,E:LIQUID + F0:HALITE#1,0.02136875,3222.5218532
6,E:LIQUID + F0:HALITE#1,0.00886875,3222.3098431
6,E:LIQUID + F0:HALITE#1,0.00261875,3222.0123526
6,E:LIQUID + F0:HALITE#1,0.00105625,3221.9981549
6,E:LIQUID + F0:HALITE#1,0.000275,3221.9478259
6,E:LIQUID + F0:HALITE#1,7.96875e-05,3221.9349218
6,E:LIQUID + F0:HALITE#1,3.0859375e-05,3221.9316756
6,E:LIQUID + F0:HALITE#1,6.4453124996e-06,3221.9300495
6,E:LIQUID + F0:HALITE#1,3.4179687457e-07,3221.9296427
6,E:LIQUID + F0:HALITE#1,1.5106201129e-07,3221.9296299
6,E:LIQUID + F0:HALITE#1,5.5694579652e-08,3221.9296236
6,E:LIQUID + F0:HALITE#1,8.0108638312e-09,3221.9296204
6,E:LIQUID + F0:HALITE#1,8.0108638312e-09,3221.9296204
7,E:LIQUID + F0:HALITE#1,0.49,2891.7234098
7,E:LIQUID + F0:HALITE#1,0.490025,2891.6712074
7,E:LIQUID + F0:HALITE#1,0.49229545477,2886.9048163
7,E:LIQUID + F0:HALITE#1,0.49683636432,2877.2219976
7,E:LIQUID + F0:HALITE#1,0.49766198432,2875.4401808
7,E:LIQUID + F0:HALITE#1,0.49931322432,2871.8570565
7,E:LIQUID + F0:HALITE#1,0.4996134498,2871.2027978
7,E:LIQUID + F0:HALITE#1,0.49966803626,2871.08375
7,E:LIQUID + F0:HALITE#1,0.49977720917,2870.8455697
7,E:LIQUID + F0:HALITE#1,0.499995555,2870.3688711
7,E:LIQUID + F0:HALITE#1,0.49999916402,2870.360988
7,E:LIQUID + F0:HALITE#1,0.49999982021,2870.3595547
7,E:LIQUID + F0:HALITE#1,0.49999993952,2870.3592941
7,E:LIQUID + F0:HALITE#1,0.49999993952,2870.3592941
8,E:LIQUID + F0:HALITE#1,0.01,3222.349858
8,E:LIQUID + F0:HALITE#1,0.009975,3222.3490191
8,E:LIQUID + F0:HALITE#1,0.00373125,3222.0748361
8,E:LIQUID + F0:HALITE#1,0.000609375,3221.9696188
8,E:LIQUID + F0:HALITE#1,0.000219140625,3221.9441485
8,E:LIQUID + F0:HALITE#1,2.40234375e-05,3221.9312205
8,E:LIQUID + F0:HALITE#1,1.1828613282e-05,3221.9304082
8,E:LIQUID + F0:HALITE#1,5.7312011722e-06,3221.9300019
8,E:LIQUID + F0:HALITE#1,2.6824951175e-06,3221.9297987
8,E:LIQUID + F0:HALITE#1,1.1581420901e-06,3221.9296971
8,E:LIQUID + F0:HALITE#1,3.9596557646e-07,3221.9296463
8,E:LIQUID + F0:HALITE#1,1.4877319629e-08,3221.9296209
8,E:LIQUID + F0:HALITE#1,1.4877319629e-08,3221.9296209
9,E:LIQUID + F0:HALITE#1,0.01,3222.349858
9,E:LIQUID + F0:HALITE#1,0.010025,3222.3506948
9,E:LIQUID + F0:HALITE#1,0.035,3222.1955976
9,E:LIQUID + F0:HALITE#1,0.0475,3221.486445
9,E:LIQUID + F0:HALITE#1,0.0725,3218.6444603
9,E:LIQUID + F0:HALITE#1,0.085,3216.6373812
9,E:LIQUID + F0:HALITE#1,0.11,3211.5654008
9,E:LIQUID + F0:HALITE#1,0.1225,3208.5387794
9,E:LIQUID + F0:HALITE#1,0.135,3205.2055384
9,E:LIQUID + F0:HALITE#1,0.1475,3201.5767494
9,E:LIQUID + F0:HALITE#1,0.16,3197.6597177
9,E:LIQUID + F0:HALITE#1,0.1725,3193.4577264
9,E:LIQUID + F0:HALITE#1,0.1975,3184.1904745
9,E:LIQUID + F0:HALITE#1,0.21,3179.1095881
9,E:LIQUID + F0:HALITE#1,0.2225,3173.7120569
9,E:LIQUID + F0:HALITE#1,0.235,3167.9776632
9,E:LIQUID + F0:HALITE#1,0.2475,3161.8808381
9,E:LIQUID + F0:HALITE#1,0.26,3155.3904419
9,E:LIQUID + F0:HALITE#1,0.2725,3148.4695465
9,E:LIQUID + F0:HALITE#1,0.285,3141.0752252
9,E:LIQUID + F0:HALITE#1,0.31,3124.6634752
9,E:LIQUID + F0:HALITE#1,0.335,3105.6854847
9,E:LIQUID + F0:HALITE#1,0.3475,3095.0592622
9,E:LIQUID + F0:HALITE#1,0.36,3083.569265
9,E:LIQUID + F0:HALITE#1,0.3725,3071.1294255
9,E:LIQUID + F0:HALITE#1,0.385,3057.6493694
9,E:LIQUID + F0:HALITE#1,0.3975,3043.036001
9,E:LIQUID + F0:HALITE#1,0.41,3027.1957682
9,E:LIQUID + F0:HALITE#1,0.4225,3010.0377352
9,E:LIQUID + F0:HALITE#1,0.435,2991.4775385
9,E:LIQUID + F0:HALITE#1,0.4475,2971.4421868
9,E:LIQUID + F0:HALITE#1,0.46,2949.8754873
9,E:LIQUID + F0:HALITE#1,0.46625,2938.5062992
9,E:LIQUID + F0:HALITE#1,0.4725,2926.7436399
9,E:LIQUID + F0:HALITE#1,0.47875,2914.587617
9,E:LIQUID + F0:HALITE#1,0.485,2902.0403022
9,E:LIQUID + F0:HALITE#1,0.49125,2889.105801
9,E:LIQUID + F0:HALITE#1,0.49238636375,2886.7129237
9,E:LIQUID + F0:HALITE#1,0.49465909125,2881.8895457
9,E:LIQUID + F0:HALITE#1,0.49920454625,2872.0936799
9,E:LIQUID + F0:HALITE#1,0.49927967775,2871.930109
